lon,lat,Name,Address,Line
-77.16462968,39.11993515,Shady Grove,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red
-77.14612767,39.08432943,Rockville,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red
-77.12082028,39.06247547,Twinbrook,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red
-77.05355966,39.06179158,Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red
-77.11283218,39.04815917,White Flint,"5500 MARINELLI ROAD, ROCKVILLE, MD",red
-77.05010936,39.03753496,Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red
-77.10385204,39.02927676,Grosvenor-Strathmore,"10300 ROCKVILLE PIKE, BETHESDA, MD",red
-77.04291885,39.01496208,Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red
-76.91105983,39.01115367,Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green, yellow"
-77.0969546,39.00006429,Medical Center,"8810 ROCKVILLE PIKE, BETHESDA, MD",red
-77.03102012,38.99395718,Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red
-77.0941315,38.98440146,Bethesda,"7450 WISCONSIN AVENUE, BETHESDA, MD",red
-76.92812724,38.97864144,College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow"
-77.01817899,38.97608633,Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",red
-76.95588378,38.96539325,Prince George's Plaza,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow"
-77.08499811,38.95949167,Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red
-76.96957895,38.95504797,West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD","green, yellow"
-77.00220536,38.95185457,Fort Totten,"550 GALLOWAY STREET NE, WASHINGTON, DC","red, green,yellow"
-77.07958963,38.94885923,Tenleytown-AU,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red
-77.34006222,38.94774066,Wiehle-Reston East,"1862 WIEHLE AVENUE RESTON, VA 20190",silver
-76.87184353,38.94779266,New Carrollton,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange
-77.06298848,38.94327308,Van Ness-UDC,"4200 CONNECTICUT AVENUE NW, WASHINGTON, DC",red
-77.02346319,38.93744242,Georgia Ave Petworth,"3700 GEORGIA AVENUE NW, WASHINGTON, DC","green, yellow"
-77.05804482,38.93477068,Cleveland Park,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC",red
-76.89120021,38.93351403,Landover,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange
-76.99453656,38.93321879,Brookland-CUA,"801 MICHIGAN AVENUE NE, WASHINGTON, DC",red
-77.24156035,38.92895963,Spring Hill,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver
-77.03255441,38.92784576,Columbia Heights,"3030 14TH STREET NW, WASHINGTON, DC","green, yellow"
